unique_customer_identifier,event_date,call_type,talk_time_seconds,hold_time_seconds
eb89d4d3324cf1653509e450a3da9f8a9cfbe2b376ad5c7f40857c86e5c4c2e7,2023-07-10,Customer Finance,726.0,104.0
43c5c5f2592ca40f05fc2cb5732ba8522be99ca2b9d4bfc8268b2aa303b708cb,2022-10-04,Loyalty,1205.0,217.0
1deb0ee2e943da6c2640092dc4ad5f3abc6a9417af9da7d5c7eef385248baf84,2024-03-06,Loyalty,459.0,64.0
65cac803e3a66e335d6a72614d8d35eec87893de171c370be475f23085f06f5e,2022-12-13,CS&B,172.0,182.0
8970fd42d2595dc063a823e416e5bb795a555bb6e31d72d8fd53b8af2e2405c5,2022-09-15,Tech,1642.0,0.0
8970fd42d2595dc063a823e416e5bb795a555bb6e31d72d8fd53b8af2e2405c5,2022-09-15,Tech,608.0,0.0
8f676110ebcb784b3874a951104b7118bed193ef8e2c637aac8c565ac823abef,2023-11-18,Loyalty,706.0,389.0
2df91c630bc8d3482fe6b26130ae5d94820effac70251096029fdff42b6dfc62,2024-02-09,FTTP,195.0,14.0
2df91c630bc8d3482fe6b26130ae5d94820effac70251096029fdff42b6dfc62,2024-02-09,FTTP,677.0,0.0
182b2ab272bb0f5936ddef1b0ebc41ef7928a07be0356b0429927b27d7d87c67,2022-09-05,Customer Finance,135.0,0.0
182b2ab272bb0f5936ddef1b0ebc41ef7928a07be0356b0429927b27d7d87c67,2022-09-06,Customer Finance,85.0,0.0
182b2ab272bb0f5936ddef1b0ebc41ef7928a07be0356b0429927b27d7d87c67,2022-09-06,Customer Finance,73.0,0.0
db6306555807649ba084ad7191708c64382856ac4cd364f379530436757cab25,2023-04-20,Customer Finance,607.0,268.0
db6306555807649ba084ad7191708c64382856ac4cd364f379530436757cab25,2023-04-20,Customer Finance,490.0,0.0
2df91c630bc8d3482fe6b26130ae5d94820effac70251096029fdff42b6dfc62,2024-07-23,Tech,578.0,0.0
df8ec98f954cca4bd90fdfe8944a4b086c3cb3d31f6f29b8b08501c4c29a334e,2023-12-01,Loyalty,334.0,398.0
2df91c630bc8d3482fe6b26130ae5d94820effac70251096029fdff42b6dfc62,2024-02-26,CS&B,57.0,126.0
8b7445923a168558fcbf59968581d6a185f73250b1246c35c63517cea481bcc1,2024-05-03,Tech,1107.0,150.0
eb89d4d3324cf1653509e450a3da9f8a9cfbe2b376ad5c7f40857c86e5c4c2e7,2023-09-29,CS&B,265.0,0.0
2df91c630bc8d3482fe6b26130ae5d94820effac70251096029fdff42b6dfc62,2023-12-18,CS&B,381.0,309.0
