unique_customer_identifier,event_date,call_type,talk_time_seconds,hold_time_seconds
a21d4384a8b9cc0ee2a49ea3fd16f16c846bae97183cb474427ff1f96f2b6145,2024-02-23,CS&B,367.0,0.0
11006516278458240e3ebbfad2eb35728ef990c70712958766a03489389070a1,2022-12-21,Customer Finance,753.0,91.0
11006516278458240e3ebbfad2eb35728ef990c70712958766a03489389070a1,2022-12-21,Customer Finance,1.0,0.0
11006516278458240e3ebbfad2eb35728ef990c70712958766a03489389070a1,2022-12-21,Customer Finance,29.0,0.0
8c852ab94629e1ab3761377640784d2162dbe2c57263b6094555f3835d06d48a,2023-12-08,Loyalty,254.0,91.0
11006516278458240e3ebbfad2eb35728ef990c70712958766a03489389070a1,2024-02-05,Tech,49.0,0.0
11006516278458240e3ebbfad2eb35728ef990c70712958766a03489389070a1,2024-02-05,Tech,1562.0,329.0
11006516278458240e3ebbfad2eb35728ef990c70712958766a03489389070a1,2024-02-05,Tech,20.0,0.0
4e1702d00fc32ee34a9a5fe5aaf66e16a76e9879c342c2492db71c86c8c3a1c7,2023-05-31,Customer Finance,823.0,182.0
0eba3d63c2925a94c01dd8c236f107134f79e8236bb6979f2c33eced376df2fb,2022-09-09,Tech,385.0,0.0
0eba3d63c2925a94c01dd8c236f107134f79e8236bb6979f2c33eced376df2fb,2022-09-09,Tech,4.0,0.0
0eba3d63c2925a94c01dd8c236f107134f79e8236bb6979f2c33eced376df2fb,2022-09-09,Tech,1524.0,0.0
a3830c81991567a35e20bd3fa16bd14693c4677622b0914a570625b5429ebaed,2023-07-21,Loyalty,857.0,475.0
a21d4384a8b9cc0ee2a49ea3fd16f16c846bae97183cb474427ff1f96f2b6145,2024-03-22,CS&B,755.0,0.0
a21d4384a8b9cc0ee2a49ea3fd16f16c846bae97183cb474427ff1f96f2b6145,2024-03-22,Tech,67.0,26.0
a21d4384a8b9cc0ee2a49ea3fd16f16c846bae97183cb474427ff1f96f2b6145,2024-03-22,Tech,403.0,253.0
0bf73e6a86fc969e5c17157f998757344d7990d17ab4009aac9dfdfd1c972e2a,2024-08-06,Loyalty,262.0,146.0
bf870b8e62739c4c4ea51ba4801ce41c016796efb6b29e892d88380b2fb53bd1,2024-06-25,Tech,1199.0,358.0
bf870b8e62739c4c4ea51ba4801ce41c016796efb6b29e892d88380b2fb53bd1,2024-06-25,Tech,117.0,0.0
be488c8427bf3b1457405aea6b5b03383428f39b8363b22c5ee6c4cec13d62d5,2023-01-20,CS&B,108.0,228.0
a21d4384a8b9cc0ee2a49ea3fd16f16c846bae97183cb474427ff1f96f2b6145,2024-02-29,CS&B,77.0,186.0
a6804e62001d8e7b4fd567bff762877e6b6842beb305a2462500e03040ec6046,2024-02-12,null,0.0,0.0
a6804e62001d8e7b4fd567bff762877e6b6842beb305a2462500e03040ec6046,2024-02-12,null,0.0,0.0
a6804e62001d8e7b4fd567bff762877e6b6842beb305a2462500e03040ec6046,2024-02-12,null,0.0,0.0
11006516278458240e3ebbfad2eb35728ef990c70712958766a03489389070a1,2022-10-20,Tech,314.0,866.0
11006516278458240e3ebbfad2eb35728ef990c70712958766a03489389070a1,2023-09-06,CS&B,452.0,401.0
62825f860a006ebff9ef584c849951b4d66c2488c0507fef4c64f60f47c0c862,2022-09-22,Tech,207.0,0.0
62825f860a006ebff9ef584c849951b4d66c2488c0507fef4c64f60f47c0c862,2022-09-22,Tech,297.0,20.0
11006516278458240e3ebbfad2eb35728ef990c70712958766a03489389070a1,2023-01-16,CS&B,148.0,0.0
a6804e62001d8e7b4fd567bff762877e6b6842beb305a2462500e03040ec6046,2024-02-08,Tech,1172.0,0.0
62825f860a006ebff9ef584c849951b4d66c2488c0507fef4c64f60f47c0c862,2023-07-17,CS&B,360.0,158.0
9ba04e2b53d089beb26fe803e710407d350f1450908d9c7a22d941c9c198d107,2024-06-26,Tech,615.0,0.0
62825f860a006ebff9ef584c849951b4d66c2488c0507fef4c64f60f47c0c862,2023-01-23,Tech,296.0,0.0
62825f860a006ebff9ef584c849951b4d66c2488c0507fef4c64f60f47c0c862,2023-01-23,Tech,1163.0,1088.0
62825f860a006ebff9ef584c849951b4d66c2488c0507fef4c64f60f47c0c862,2023-01-23,Tech,108.0,0.0
62825f860a006ebff9ef584c849951b4d66c2488c0507fef4c64f60f47c0c862,2023-01-23,Tech,0.0,0.0
62825f860a006ebff9ef584c849951b4d66c2488c0507fef4c64f60f47c0c862,2023-01-23,Tech,0.0,0.0
62825f860a006ebff9ef584c849951b4d66c2488c0507fef4c64f60f47c0c862,2023-01-23,Tech,647.0,0.0
be488c8427bf3b1457405aea6b5b03383428f39b8363b22c5ee6c4cec13d62d5,2023-04-18,CS&B,620.0,0.0
e7a455647e6a5204e7d096977b496efb56ee9d701dc0f043a3b722edf747eb28,2023-04-18,CS&B,311.0,399.0
f049a26b67f12419c596a8ab46fdff06b34881106b57697e4a5adb4a74ccdfdc,2022-10-19,CS&B,950.0,370.0
a21d4384a8b9cc0ee2a49ea3fd16f16c846bae97183cb474427ff1f96f2b6145,2024-03-21,Tech,93.0,203.0
6711f77c4a7fa7b173300b3be97255869a72f42edf2e2723f1a9bbac80090e0b,2024-05-01,Tech,0.0,0.0
6711f77c4a7fa7b173300b3be97255869a72f42edf2e2723f1a9bbac80090e0b,2024-05-01,Tech,2035.0,397.0
6711f77c4a7fa7b173300b3be97255869a72f42edf2e2723f1a9bbac80090e0b,2024-05-01,Tech,3179.0,71.0
28a9e6009dddc6c540d099acf9be876e53753578097446d56ba763620105cefa,2023-05-11,Loyalty,487.0,0.0
0eba3d63c2925a94c01dd8c236f107134f79e8236bb6979f2c33eced376df2fb,2023-05-16,Loyalty,534.0,7.0
0eba3d63c2925a94c01dd8c236f107134f79e8236bb6979f2c33eced376df2fb,2023-05-16,Loyalty,406.0,222.0
28a9e6009dddc6c540d099acf9be876e53753578097446d56ba763620105cefa,2023-06-27,CS&B,743.0,0.0
70bbaddd8b39fa467d1b963a4f8cb042bcbd733b7a6badbd99d4e0083a8a8fee,2022-08-06,Tech,788.0,0.0
70bbaddd8b39fa467d1b963a4f8cb042bcbd733b7a6badbd99d4e0083a8a8fee,2022-08-06,Tech,785.0,0.0
70bbaddd8b39fa467d1b963a4f8cb042bcbd733b7a6badbd99d4e0083a8a8fee,2022-08-06,Tech,2785.0,0.0
e6ac6c703e471bd0a51c90d6501990d9cc3c80292c47bd5cfcfe23871d3a613c,2022-11-01,Tech,3890.0,250.0
11006516278458240e3ebbfad2eb35728ef990c70712958766a03489389070a1,2022-10-10,CS&B,713.0,548.0
a1c14de03378d1fbaac9ae8fdc779f6e16c39fb164833f104c996ba0df999f59,2023-04-12,CS&B,442.0,0.0
a21d4384a8b9cc0ee2a49ea3fd16f16c846bae97183cb474427ff1f96f2b6145,2024-07-30,Loyalty,794.0,0.0
