unique_customer_identifier,datevalue,contract_status,contract_dd_cancels,dd_cancel_60_day,ooc_days,technology,speed,line_speed,sales_channel,crm_package_name,tenure_days
f4c7dda5d44935343074ed8b127608a13bcef4144452fa622ce2d46463c6da7e,2022-10-01,03 Soon to be OOC,0,0,-48,GFAST,150,159.87821875,Online - Affiliate,Fibre 150 (GFast-OR),808
095d5f0adc982fee764c35bb8f6752af4d432296c3a504fe159e7221758c9a93,2023-07-01,02 In Contract,0,0,-236,FTTC,35,39.999,Online - Search,Fibre 35 (FTTC-OR),312
860b8b97a66b474c7fe9a761ab79e33131aa628e6d953cda2629957b1ebe5b37,2024-02-01,01 Early Contract,0,0,-688,FTTC,65,39.999,Unknown,Fibre 65 (FTTC-OR),4585
c0d55e7207c5bb2dd46f229e97401372073249d8db6bb6c1d2e54092adad77a9,2023-03-01,02 In Contract,0,0,-204,FTTC,65,79.998,Partners,Fibre 65 (FTTC-OR),886
ca0287834bcfb91017d8a43edaed26498daa4ca061bf29d897073e3eb751e171,2022-09-01,02 In Contract,0,0,-278,FTTC,65,61.78622265625,Online - Search,Fibre 65 (FTTC-OR),701
0b9177d8570746e7f3c6f5a70a312fd2108d236caacc25c365a82fc6fe2b7b06,2023-06-01,02 In Contract,0,0,-246,FTTC,65,54.161,Online - Affiliate,Fibre 65 (FTTC-OR),819
e1e81a5cc9d06bed409119e9ecef243c56315d5271a97ce36fc22149d37a0acf,2023-01-01,06 OOC,0,0,549,FTTC,40,39.996,Unknown,Faster Fibre,1095
c509aad6caea2efa86075c5b8c4888d77ca0f6fcd30f94a375684d654a3adce4,2023-05-01,06 OOC,0,0,291,MPF,18,0.0,Migrated Customer,Fast Broadband,5893
f4d467c6ec8f49892a41fd3e0b5fae1e395603e5c5c2be7b25f081000a48b482,2023-10-01,06 OOC,0,0,3655,FTTC,35,29.78,Migrated Customer,Fibre 35 (FTTC-OR),5079
0f8f757ae2c733fb28a0fd99e3b762125810c0ce3b8e7f416708513b353741fe,2023-04-01,06 OOC,0,0,1047,FTTC,40,39.968,Migrated Customer,Faster Fibre,5904
40eb4c21a3ec2c02572246f560410411a95488c6f701630bbc3e37b3cc2b6564,2024-05-01,06 OOC,0,0,226,FTTC,65,79.998,Unknown,Fibre 65 (FTTC-OR),4800
4d994624c7349bd4d9fb2016cb35ac14d50ee8595fb73dc7d7400f2fd5714f9e,2022-09-01,06 OOC,0,0,934,FTTC,40,34.999,Migrated Customer,Faster Fibre,5320
4d994624c7349bd4d9fb2016cb35ac14d50ee8595fb73dc7d7400f2fd5714f9e,2023-01-01,06 OOC,0,0,1056,FTTC,40,20.444,Migrated Customer,Faster Fibre,5442
43c5c5f2592ca40f05fc2cb5732ba8522be99ca2b9d4bfc8268b2aa303b708cb,2023-08-01,02 In Contract,0,0,-247,FTTC,65,70.714,Migrated Customer,Fibre 65 (FTTC-OR),4814
a068f22c6b859a8a67c7d763845d23ebe74206212d41367402e3255acd74ac36,2024-07-01,06 OOC,0,0,2019,FTTC,35,12.746384765625,Unknown,Fibre 35 (FTTC-OR),3855
2e5ed2e2db64db39c6c5c64aa349bf920f6826dcfe75c45d4a25d60385e07ad1,2023-04-01,05 Newly OOC,0,0,55,FTTC,65,0.0,Online - Affiliate,Fibre 65 (FTTC-OR),603
eb89d4d3324cf1653509e450a3da9f8a9cfbe2b376ad5c7f40857c86e5c4c2e7,2024-02-01,04 Coming OOC,0,0,-28,FTTC,65,29.555,Online - Search,Fibre 65 (FTTC-OR),518
f4c7dda5d44935343074ed8b127608a13bcef4144452fa622ce2d46463c6da7e,2024-06-01,06 OOC,0,0,561,GFAST,150,159.858640625,Online - Affiliate,Fibre 150 (GFast-OR),1417
6472a9da95a49abb30c83a833d4facbebbcd6657aa11d443d8fa3cd0365b5739,2023-04-01,02 In Contract,0,0,-527,FTTC,35,34.99708984375,Online - Affiliate,Fibre 35 (FTTC-OR),922
3943ca4638ef87bc2ecc86c27775159b6e86d9f79d07a0c998b016249ba07655,2024-02-01,02 In Contract,0,0,-474,FTTC,35,39.997,Migrated Customer,Fibre 35 (FTTC-OR),3277
a068f22c6b859a8a67c7d763845d23ebe74206212d41367402e3255acd74ac36,2024-08-01,06 OOC,0,0,2050,FTTC,35,21.365,Unknown,Fibre 35 (FTTC-OR),3886
5b19356380bf12894575ae0957c53370c235a7e524c28766875f00620e8f9cba,2024-09-01,06 OOC,0,0,1322,FTTC,40,35.0,Migrated Customer,Faster Fibre,6366
836edb40f715fc636480bc0648dfb85d05eb24848c8170a41df24d3270537b8a,2024-08-01,02 In Contract,0,0,-210,FTTC,65,79.999,Migrated Customer,Fibre 65 (FTTC-OR),5979
fe06ba4e6270757c21ab21aa0770d77d60ffc371df42b8c00ac37da159747194,2022-08-01,02 In Contract,0,0,-219,FTTC,35,38.514,Retail,Fibre 35 (FTTC-OR),1991
40eb4c21a3ec2c02572246f560410411a95488c6f701630bbc3e37b3cc2b6564,2023-02-01,02 In Contract,0,0,-229,FTTC,65,79.992,Unknown,Fibre 65 (FTTC-OR),4345
df8ec98f954cca4bd90fdfe8944a4b086c3cb3d31f6f29b8b08501c4c29a334e,2023-05-01,06 OOC,0,0,323,FTTC,35,0.0,Online - Affiliate,Fibre 35 (FTTC-OR),1424
0b9177d8570746e7f3c6f5a70a312fd2108d236caacc25c365a82fc6fe2b7b06,2022-11-01,01 Early Contract,0,0,-458,FTTC,65,56.669,Online - Affiliate,Fibre 65 (FTTC-OR),607
8b7445923a168558fcbf59968581d6a185f73250b1246c35c63517cea481bcc1,2022-10-01,02 In Contract,0,0,-305,FTTC,35,6.399,Inbound,Fibre 35 (FTTC-OR),3026
2df91c630bc8d3482fe6b26130ae5d94820effac70251096029fdff42b6dfc62,2023-12-01,01 Early Contract,0,0,-544,FTTC,65,60.0,Online - Affiliate,Fibre 65 (FTTC-OR),1267
fe06ba4e6270757c21ab21aa0770d77d60ffc371df42b8c00ac37da159747194,2024-04-01,06 OOC,0,0,390,FTTC,35,39.806,Retail,Fibre 35 (FTTC-OR),2600
65cac803e3a66e335d6a72614d8d35eec87893de171c370be475f23085f06f5e,2022-11-01,02 In Contract,0,0,-137,FTTC,35,29.996,Inbound,Fibre 35 (FTTC-OR),1181
83cc2e032ef2ef9184621674d8120442c65b8b3c87f43cc85f94cf7cfcae397e,2024-07-01,03 Soon to be OOC,0,0,-85,FTTC,65,29.999,Unknown,Fibre 65 (FTTC-OR),5093
c509aad6caea2efa86075c5b8c4888d77ca0f6fcd30f94a375684d654a3adce4,2023-01-01,06 OOC,0,0,171,MPF,18,0.0,Migrated Customer,Fast Broadband,5773
6472a9da95a49abb30c83a833d4facbebbcd6657aa11d443d8fa3cd0365b5739,2023-02-01,02 In Contract,0,0,-586,FTTC,35,34.996,Online - Affiliate,Fibre 35 (FTTC-OR),863
6472a9da95a49abb30c83a833d4facbebbcd6657aa11d443d8fa3cd0365b5739,2024-07-01,02 In Contract,0,0,-591,FTTC,35,32.399,Online - Affiliate,Fibre 35 (FTTC-OR),1379
75b1217140bb8ddc6bb3458315e10f58dcb4e7841517bb32b8bca149a1b832a6,2023-03-01,06 OOC,0,0,447,GFAST,150,139.1685,Online - Affiliate,Fibre 150 (GFast-OR),994
d34f586fd9e7d0c9163447865fe3d151340d92694d870602c8954a2c1dfb8a24,2023-10-01,02 In Contract,0,0,-557,FTTC,65,79.999,Online - Search,Fibre 65 (FTTC-OR),906
1deb0ee2e943da6c2640092dc4ad5f3abc6a9417af9da7d5c7eef385248baf84,2024-02-01,04 Coming OOC,0,0,-22,FTTC,65,74.0,Online - Affiliate,Fibre 65 (FTTC-OR),1675
40eb4c21a3ec2c02572246f560410411a95488c6f701630bbc3e37b3cc2b6564,2024-07-01,06 OOC,0,0,287,FTTC,65,79.998,Unknown,Fibre 65 (FTTC-OR),4861
0b9177d8570746e7f3c6f5a70a312fd2108d236caacc25c365a82fc6fe2b7b06,2023-07-01,02 In Contract,0,0,-216,FTTC,65,54.161,Online - Affiliate,Fibre 65 (FTTC-OR),849
836edb40f715fc636480bc0648dfb85d05eb24848c8170a41df24d3270537b8a,2024-05-01,02 In Contract,0,0,-302,FTTC,65,79.999,Migrated Customer,Fibre 65 (FTTC-OR),5887
83cc2e032ef2ef9184621674d8120442c65b8b3c87f43cc85f94cf7cfcae397e,2024-05-01,02 In Contract,0,0,-146,FTTC,65,27.399,Unknown,Fibre 65 (FTTC-OR),5032
84e598cdfb9f0b163158f461ff7d52e027b9a8a898707de036dffdaec647bbb2,2023-04-01,06 OOC,0,0,406,FTTC,40,39.997,Migrated Customer,Faster Fibre,5727
